time,icao24,callsign,airport,runway,has_ga,n_approaches,n_rwy_approached,registration,typecode,icaoaircrafttype,wtc,glide_slope_angle,has_intersection,rwy_length,airport_country,airport_region,operator_country,operator_region,wind_speed_knts,wind_dir_deg,wind_gust_knts,visibility_m,temperature_deg,press_sea_level_p,press_p,weather_intensity,weather_precipitation,weather_desc,weather_obscuration,weather_other
2019-01-01 00:01:13+00:00,a3b110,AAY56,KAUS,18R,False,1,1,N337NV,A319,L2J,M,3.0,False,3736.957464202738,USA,North_America,USA,North_America,0.0,0.0,,16093.44,10.0,1015.2,1014.901083,[],[],[],[],[]
2019-01-01 00:12:58+00:00,accee2,ASA1144,KAUS,18R,False,1,1,N924VA,,,,3.0,False,3736.957464202738,USA,North_America,USA,North_America,0.0,0.0,,16093.44,10.0,1015.2,1014.901083,[],[],[],[],[]
2019-01-01 00:13:54+00:00,a71ded,JBU511,KAUS,18L,False,1,1,N558JB,A320,L2J,M,3.0,False,2738.950685954335,USA,North_America,USA,North_America,0.0,0.0,,16093.44,10.0,1015.2,1014.901083,[],[],[],[],[]
2019-01-01 00:20:21+00:00,a44031,DAL1475,KAUS,18L,False,1,1,N373NW,A320,L2J,M,3.0,False,2738.950685954335,USA,North_America,USA,North_America,0.0,0.0,,16093.44,10.0,1015.2,1014.901083,[],[],[],[],[]
2019-01-01 00:27:41+00:00,a09cad,AAL2594,KAUS,18R,False,1,1,N139AN,A321,L2J,M,3.0,False,3736.957464202738,USA,North_America,USA,North_America,0.0,0.0,,16093.44,10.0,1015.2,1014.901083,[],[],[],[],[]
2019-01-01 00:30:21+00:00,abf9f8,SWA2503,KAUS,18L,False,1,1,N8709Q,B38M,L2J,M,3.0,False,2738.950685954335,USA,North_America,USA,North_America,0.0,0.0,,16093.44,10.0,1015.2,1014.901083,[],[],[],[],[]
2019-01-01 00:31:41+00:00,a1a286,SKW5832,KAUS,18R,False,1,1,N204SY,E75L,L2J,M,3.0,False,3736.957464202738,USA,North_America,USA,North_America,0.0,0.0,,16093.44,10.0,1015.2,1014.901083,[],[],[],[],[]
2019-01-01 00:55:29+00:00,a9d86c,RPA3429,KAUS,18L,False,1,1,N733YX,E75L,L2J,M,3.0,False,2738.950685954335,USA,North_America,USA,North_America,0.0,0.0,,16093.44,10.0,1015.2,1014.901083,[],[],[],[],[]
2019-01-01 01:10:27+00:00,a420bb,ASA1218,KAUS,18R,False,1,1,N365VA,A320,L2J,M,3.0,False,3736.957464202738,USA,North_America,USA,North_America,0.0,0.0,,16093.44,10.0,1015.2,1014.901083,[],[],[],[],[]
2019-01-01 01:30:55+00:00,aa6bc9,SWA3431,KAUS,18R,False,1,1,N7703A,B737,L2J,M,3.0,False,3736.957464202738,USA,North_America,USA,North_America,4.0,240.0,,16093.44,10.0,1015.7,1015.578361,[],[],[],[],[]
2019-01-01 01:33:18+00:00,a448ba,DAL1342,KAUS,18L,False,1,1,N3750D,B738,L2J,M,3.0,False,2738.950685954335,USA,North_America,USA,North_America,4.0,240.0,,16093.44,10.0,1015.7,1015.578361,[],[],[],[],[]
2019-01-01 01:51:43+00:00,a22482,SWA3440,KAUS,18R,False,1,1,N237WN,B737,L2J,M,3.0,False,3736.957464202738,USA,North_America,USA,North_America,4.0,240.0,,16093.44,10.0,1015.7,1015.578361,[],[],[],[],[]
2019-01-01 01:54:59+00:00,abdb35,AAL2636,KAUS,18L,False,1,1,N863NN,B738,L2J,M,3.0,False,2738.950685954335,USA,North_America,USA,North_America,4.0,240.0,,16093.44,10.0,1015.7,1015.578361,[],[],[],[],[]
